County,Organisation,Project Title,Amount Sought,Organisation Type ,Sport Type,Grant Category
Cavan,Coiste Bhreifne U� Raghaillaigh (Cavan G.A.A.),Redevelopment of 3G Artificial Playing surface,"?500,000",Sports Stadium,Gaelic Games,Non-Local
Cavan,Cootehill Celtic GAA,Cootehill Celtic GAA Club,"?200,000",Sports Club,Gaelic Games,Local
Cavan,Cootehill Harps AFC,"Equipment, kits, maintenance, player stats","?43,629",Sports Club,Soccer,Local
Cavan,Corlough GAA Club,Corlough Community Gym Equipment,"?24,000",Sports Club,Gaelic Games,Local
Cavan,County Cavan Golf Club,The Provision of a Tee Box/Green Surround Mower,"?40,000",Sports Club,Golf,Local
Cavan,County Cavan Rugby Football Club,creation of a multisport pitch to address demand,"?200,000",Sports Club,Rugby,Local
Cavan,Crosserlough GFC,Upgrade Indoor and Outdoor toilets and showers,"?65,000",Sports Club,Gaelic Games,Local
Cavan,Cuchulainns Gaelic Football Club,New clubhouse - Phase 1 .,"?200,000",Sports Club,Gaelic Games,Local
Cavan,Cuilcagh Triathlon Club,Grow our club and race to increase participation,"?25,419",Sports Club,Triathlon,Local
Cavan,Cuman Gael an Chabhain (Cavan Gaels GAA Club),Cavan Gaels Increasing Participation,"?55,204",Sports Club,Gaelic Games,Local
Cavan,Denn GFC,"Ball Stop, Ball Wall & Robotic Mower","?74,848",Sports Club,Gaelic Games,Local
Cavan,Drumlane G.F.C,2023/24 Essential facilities upgrade,"?46,950",Sports Club,Gaelic Games,Local
Cavan,Drung GFC,Extension to an existing training pitch,"?62,770",Sports Club,Gaelic Games,Local
Cavan,East Cavan Eagles Basketball Club,Basketball Equipment for All,"?34,937",Sports Club,Basketball,Local
Cavan,Kildallan GAA,Kildallan - Participation for All - 2023,"?64,130",Sports Club,Gaelic Games,Local
Cavan,Kill Shamrocks GAA,Kill Shamrocks GFC Grant Application 2023,"?70,000",Sports Club,Gaelic Games,Local
Cavan,Killeshandra Community Council,Killeshandra Community Council Strand Development,"?6,950",Community Group,Multi-sport,Local
Cavan,Killeshandra Leaguers GFC,Killeshandra GAA Clubroom Development (Phase 2),"?100,000",Sports Club,Gaelic Games,Local
Cavan,Killinkere National School,Killinkere NS - All weather,"?141,714",School (primary or second level),Gaelic Games,Local
Cavan,Killygarry GAA,Development of multipurpose Indoor sports area,"?100,000",Sports Club,Gaelic Games,Local
